temps,Vin,Vout
0,0,0.00759809
0.0001,0.157054,0.0294125
0.0002,0.313953,0.0640681
0.0003,0.470542,0.110306
0.0004,0.626666,0.166972
0.0005,0.782172,0.233008
0.0006,0.936907,0.307441
0.0007,1.09072,0.389377
0.0008,1.24345,0.477992
0.0009,1.39496,0.572527
0.001,1.54508,0.672279
0.0011,1.69369,0.776601
0.0012,1.84062,0.884891
0.0013,1.98574,0.996592
0.0014,2.1289,1.11119
0.0015,2.26995,1.22819
0.0016,2.40877,1.34716
0.0017,2.54521,1.46767
0.0018,2.67913,1.58932
0.0019,2.81042,1.71177
0.002,2.93893,1.83464
0.0021,3.06454,1.95764
0.0022,3.18712,2.08044
0.0023,3.30656,2.20277
0.0024,3.42274,2.32435
0.0025,3.53553,2.44492
0.0026,3.64484,2.56425
0.0027,3.75056,2.68211
0.0028,3.85257,2.79827
0.0029,3.95078,2.91254
0.003,4.04508,3.02472
0.0031,4.1354,3.13462
0.0032,4.22164,3.24207
0.0033,4.30371,3.34689
0.0034,4.38153,3.44894
0.0035,4.45503,3.54806
0.0036,4.52414,3.64411
0.0037,4.58877,3.73695
0.0038,4.64888,3.82646
0.0039,4.7044,3.9125
0.004,4.75528,3.99497
0.0041,4.80147,4.07376
0.0042,4.84292,4.14877
0.0043,4.87958,4.2199
0.0044,4.91144,4.28705
0.0045,4.93844,4.35015
0.0046,4.96057,4.40911
0.0047,4.97781,4.46386
0.0048,4.99013,4.51434
0.0049,4.99753,4.56048
0.005,5,4.60223
0.0051,4.99753,4.63953
0.0052,4.99013,4.67233
0.0053,4.97781,4.70061
0.0054,4.96057,4.72432
0.0055,4.93844,4.74342
0.0056,4.91144,4.75791
0.0057,4.87958,4.76775
0.0058,4.84292,4.77294
0.0059,4.80147,4.77346
0.006,4.75528,4.7693
0.0061,4.7044,4.76048
0.0062,4.64888,4.74699
0.0063,4.58877,4.72884
0.0064,4.52414,4.70605
0.0065,4.45503,4.67864
0.0066,4.38153,4.64664
0.0067,4.30371,4.61007
0.0068,4.22164,4.56897
0.0069,4.1354,4.52337
0.007,4.04508,4.47332
0.0071,3.95078,4.41888
0.0072,3.85257,4.36008
0.0073,3.75056,4.29699
0.0074,3.64484,4.22967
0.0075,3.53553,4.15819
0.0076,3.42274,4.0826
0.0077,3.30656,4.003
0.0078,3.18712,3.91946
0.0079,3.06454,3.83205
0.008,2.93893,3.74086
0.0081,2.81042,3.64599
0.0082,2.67913,3.54752
0.0083,2.54521,3.44556
0.0084,2.40877,3.3402
0.0085,2.26995,3.23154
0.0086,2.1289,3.1197
0.0087,1.98574,3.00479
0.0088,1.84062,2.88691
0.0089,1.69369,2.76618
0.009,1.54508,2.64273
0.0091,1.39496,2.51667
0.0092,1.24345,2.38813
0.0093,1.09072,2.25723
0.0094,0.936907,2.12411
0.0095,0.782172,1.98889
0.0096,0.626666,1.85171
0.0097,0.470542,1.7127
0.0098,0.313953,1.572
0.0099,0.157054,1.42976
0.01,6.12323e-16,1.2861
0.0101,-0.157054,1.14117
0.0102,-0.313953,0.995122
0.0103,-0.470542,0.848089
0.0104,-0.626666,0.700219
0.0105,-0.782172,0.551659
0.0106,-0.936907,0.402555
0.0107,-1.09072,0.253054
0.0108,-1.24345,0.103303
0.0109,-1.39496,-0.0465486
0.011,-1.54508,-0.196354
0.0111,-1.69369,-0.345966
0.0112,-1.84062,-0.495237
0.0113,-1.98574,-0.644018
0.0114,-2.1289,-0.792163
0.0115,-2.26995,-0.939527
0.0116,-2.40877,-1.08596
0.0117,-2.54521,-1.23133
0.0118,-2.67913,-1.37548
0.0119,-2.81042,-1.51827
0.012,-2.93893,-1.65956
0.0121,-3.06454,-1.79922
0.0122,-3.18712,-1.9371
0.0123,-3.30656,-2.07306
0.0124,-3.42274,-2.20699
0.0125,-3.53553,-2.33873
0.0126,-3.64484,-2.46817
0.0127,-3.75056,-2.59517
0.0128,-3.85257,-2.7196
0.0129,-3.95078,-2.84136
0.013,-4.04508,-2.96031
0.0131,-4.1354,-3.07634
0.0132,-4.22164,-3.18933
0.0133,-4.30371,-3.29918
0.0134,-4.38153,-3.40577
0.0135,-4.45503,-3.509
0.0136,-4.52414,-3.60876
0.0137,-4.58877,-3.70497
0.0138,-4.64888,-3.79751
0.0139,-4.7044,-3.88631
0.014,-4.75528,-3.97128
0.0141,-4.80147,-4.05232
0.0142,-4.84292,-4.12937
0.0143,-4.87958,-4.20234
0.0144,-4.91144,-4.27117
0.0145,-4.93844,-4.33578
0.0146,-4.96057,-4.39611
0.0147,-4.97781,-4.4521
0.0148,-4.99013,-4.5037
0.0149,-4.99753,-4.55085
0.015,-5,-4.59351
0.0151,-4.99753,-4.63164
0.0152,-4.99013,-4.6652
0.0153,-4.97781,-4.69415
0.0154,-4.96057,-4.71847
0.0155,-4.93844,-4.73814
0.0156,-4.91144,-4.75313
0.0157,-4.87958,-4.76343
0.0158,-4.84292,-4.76902
0.0159,-4.80147,-4.76991
0.016,-4.75528,-4.7661
0.0161,-4.7044,-4.75758
0.0162,-4.64888,-4.74436
0.0163,-4.58877,-4.72646
0.0164,-4.52414,-4.7039
0.0165,-4.45503,-4.6767
0.0166,-4.38153,-4.64488
0.0167,-4.30371,-4.60848
0.0168,-4.22164,-4.56752
